title,content
基准测试,就是单用户测试（今天的重点）。基本的准绳，为后续的测试提供基本依据。Benchmark Testing。
指测试环境,确定以后对业务模型中涉及的重要业务做单独的测试。
目的是获得,单用户执行时的各项性能指标，为多用户并发和综合场景等性能测试分析提供参考依据。
还是需要使用,控制台，布置场景、运行场景，搜集测试数据，通过Analysis进行结果分析。（虽然用户只有1个）。
递增测试,每隔一定的时间（1s，5s，10s）逐步加载虚拟用户，逐步加压。用途：登录测试时，可以递增测试。
并发测试,多用户并发执行某一操作，几乎同一时刻执行（LR精确到毫秒级别）。----形成瞬时压力。
并发测试,是一种严格的测试，主要考察系统对瞬时较大压力的承受能力。
综合场景测试,号称“能够最真实的模拟 实际生产环境”的测试。综合场景的几个要素：多用户、多个脚本（至少3个）、在线执行一段时间（1个小时、50分钟等）。
响应时间,业内一般“258原则”，系统响应时间在2秒以内，则用户能够接受；在5以内，用户可以忍受；超过8秒，用户不能忍受。
疲劳强度测试,在一定的强度（压力）下，对系统进行长时间的性能测试，一般为7*24小时、24小时等。
